RECRUITMENT_MEDIUM_CODE,RECRUITMENT_TYPE_CODE,RECRUITMENT_MEDIUM_NAME_EN,RECRUITMENT_MEDIUM_NAME_DE,RECRUITMENT_MEDIUM_NAME_FR,RECRUITMENT_MEDIUM_NAME_JA,RECRUITMENT_MEDIUM_NAME_AR,RECRUITMENT_MEDIUM_NAME_CS,RECRUITMENT_MEDIUM_NAME_DA,RECRUITMENT_MEDIUM_NAME_EL,RECRUITMENT_MEDIUM_NAME_ES,RECRUITMENT_MEDIUM_NAME_FI,RECRUITMENT_MEDIUM_NAME_HR,RECRUITMENT_MEDIUM_NAME_HU,RECRUITMENT_MEDIUM_NAME_ID,RECRUITMENT_MEDIUM_NAME_IT,RECRUITMENT_MEDIUM_NAME_KK,RECRUITMENT_MEDIUM_NAME_KO,RECRUITMENT_MEDIUM_NAME_MS,RECRUITMENT_MEDIUM_NAME_NL,RECRUITMENT_MEDIUM_NAME_NO,RECRUITMENT_MEDIUM_NAME_PL,RECRUITMENT_MEDIUM_NAME_PT,RECRUITMENT_MEDIUM_NAME_RO,RECRUITMENT_MEDIUM_NAME_RU,RECRUITMENT_MEDIUM_NAME_SC,RECRUITMENT_MEDIUM_NAME_SL,RECRUITMENT_MEDIUM_NAME_SV,RECRUITMENT_MEDIUM_NAME_TC,RECRUITMENT_MEDIUM_NAME_TH,RECRUITMENT_MEDIUM_NAME_TR
100,5,Local Newspaper,Lokalzeitung,Journal local,地方紙,جريدة محلية,Místní tisk,Lokal avis,Τοπική εφημερίδα,Periódico local,Paikallinen lehti,Lokalne novine,Helyi újság,Surat Kabar Lokal,Quotidiano locale,Жергілікті газет,지역 신문,Surat khabar tempatan,Plaatselijke krant,Lokalavis,Gazeta lokalna,Jornal local,Ziar local,Местная газета,本地报纸,Lokalni časopis,Lokal tidning,當地報紙,หนังสือพิมพ์ท้องถิ่น,Yerel Gazete
151,3,BBB Internet Job Bank,BBB Internet-Jobbörse,Banque d'emplois Internet BBB,インターネット就職斡旋サイト B,بنك BBB لأعمال الانترنت,Internetová databáze pracovních příležitostí BBB,BBB Internet Job Bank,Τράπεζα εργασίας ΒΒΒ στο Διαδίκτυο,Bolsa de empleo de Internet BBB,BBB-Internet-työpankki,BBB Internet banka poslova,BBB Internetes állásbank,Bank Pekerjaan Internet BBB,Sito Web offerte di lavoro BBB,BBB Internet Job Bank,BBB 인터넷 직업 은행,Bank Pekerjaan Internet BBB,BBB Internet Vacaturebank,BBB Internett Jobbank,Internetowy Bank Ogłoszeń o Pracy BBB,Banco BBB de vagas na internet,BBB Banca de joburi pe Internet,Банк вакансий ВВВ в Интернете,BBB 互联网职位库,BBB Internet Job Bank,BBB Jobbank på Internet,BBB 網際網路人力銀行,แหล่งงานทางอินเตอร์เน็ต BBB,BBB Internet Job Bank
160,5,Professional Publication,Fachzeitschrift,Publication professionnelle,専門雑誌,مطبوعات فنية متخصصة,Profesionální publikace,Professionel publikation,Έκδοση επαγγελματικού κλάδου,Publicación profesional,Ammattijulkaisu,Stručni časopis,Szakmai kiadvány,Publikasi Profesional,Pubblicazione di settore,Кәсіби ғылыми еңбек,전문 발행,Penerbitan Profesional,Advertentie vaktijdschrift,Fagpublikasjon,Publikacja specjalistyczna,Publicação profissional,Publicaţie profesională,Профессиональная публикация,专业出版物,Strokovna publikacija,Yrkespublikation,專業出版物,สิ่งตีพิมพ์เฉพาะวิชาชีพ,Mesleki yayınlar
170,6,Job Fair,Jobmesse,Foire de l'emploi,就職説明会,معرض فرص العمل,Veletrh pracovních příležitostí,Jobmesse,Έκθεση εργασίας,Feria de empleo,Työmessut,Sajam poslova,Állásbörze,Bursa Kerja,Fiera del lavoro,Бос жұмыс орындар жәрмеңкесi,취업 박람회,Pameran Kerjaya,Banenmarkt,Jobbmesse,Targi Pracy,Feira de empregos,Târg de joburi,Ярмарка вакансий,招聘会,Delovni sejem,Jobbmässa,人才招募會,ตลาดนัดแรงงาน,Mesleki fuar
200,1,CV Central,CV Central,Banque de CV,CV セントラル,مركز السير الذاتية,Centrála CV,CV Central,Κεντρική πηγή βιογραφικών,Central de CVs,Ansioluetteloarkisto,CV Central,CV központ,Pusat CV,Curriculum Vitae,CV Central,CV 중앙,Pusat CV,CV-centrale,CV-sentral,Główne CV,Central de currículos,CV central,Центр резюме,CV 中心,CV Central,CV-central,履歷中心,ศูนย์รวมประวัติผู้สมัคร,CV Merkezi
300,1,JobSeek Agency,JobSeek-Agentur,Agence de recherche d'emploi,求職仲介代理店,وكالة الباحثين عن عمل,Agentura Hledej práci,Jobsøgningsbureau,Γραφείο ευρέσεως εργασίας,Agencia de búsqueda de empleo,Työnvälitystoimisto,JobSeek agencija,Állásközvetítő ügynökség,Agen Pencari Kerja,Agenzia per il lavoro,JobSeek Agency,구직 업체,Agensi Pencarian Kerja,Uitzendbureau,JobbSøk Byrå,Biuro pośrednictwa pracy,Agência de recolocação profissional,Agenţie de căutare joburi,Агентство по поиску работы,职业介绍所,JobSeek Agency,Platsbank,求職介紹所,บริษัท JobSeek,İşçi Bulma Kurumu
400,3,Corporate Website,Unternehmens-Website,Site Web de la société,企業ウェブサイト,موقع الانترنت للشركة,Podnikový web,Koncernwebsted,Εταιρική Ιστοσελίδα,Web corporativa,Yrityssivusto,Korporativno Web sjedište,Vállalati honlap,Situs Web Korporat,Sito Web aziendale,Компания веб-торабы,회사 웹 사이트,Laman Web Korporat,Bedrijfswebsite,Bedriftsnettside,Witryna internetowa firmy,Site corporativo,Site Web corporativ,Корпоративный веб-узел,公司网站,Spletno mesto podjetja,Företagswebbplats,公司網站,เว็บไซต์องค์กร,Kurumsal Web Sitesi
500,9,Referral,Empfehlung,Référence,紹介,احالة,Doporučení,Henvisning,Σύσταση,Referencia,Lähete,Preporuka,Közvetítő,Rujukan,Referenze,Сілтеме,추천,Rujukan,Werving via werknemer,Rereferert/anbefalt,Odesłanie,Referência,Referinţă,Направление,推荐,Reference,Rekommendation,推薦,ผู้แนะนำ,Başvuru
501,10,Internal,Intern,Interne,社内,داخلي,Interní,Internt,Εσωτερική,Interna,Sisäinen,Interno,Belső,Internal,All'interno,Ішкі,내부,Dalaman,Intern,Intern,Wewnętrzny,Interno,Intern,Внутренняя,内部,Notranji,Intern,內部,ภายใน,Şirket içi
900,19,Unspecified,Unbestimmt,Non défini,指定なし,غير محدد,Neurčeno,Uspecificeret,Μη καθορισμένο,Sin especificar,Määrittämätön,Nespecificirano,Nem meghatározott,Tidak ditetapkan,Non specificato,Көрсетілмеген,명시되지 않음,Tidak ditentukan,Ongespecificeerd,Uspesifisert,Nieokreślone,Não especificado,Nespecificat,Не задано,未指定,Nedoločeno,Ospecificerad,未指定,ไม่ระบุ,Belirtilmemiş
150,5,National Newspaper,Überregionale Zeitung,Journal national,全国紙,جريدة وطنية,Celostátní tisk,National avis,Εγχώρια εφημερίδα,Periódico nacional,Kansallinen lehti,Nacionalne novine,Országos újság,Surat Kabar Nasional,Quotidiano nazionale,Ұлттық газет,전국 신문,Surat khabar Nasional,Landelijke krant,Riksavis,Gazeta krajowa,Jornal nacional,Ziar naţional,Общенациональная газета,全国性报纸,Državni časopis,Nationell tidning,全國性發行的報紙,หนังสือพิมพ์ระดับประเทศ,Ulusal Gazete
700,1,Core Resources,Core Resources,Centrale des ressources,コア リソース,المصادر الرئيسية,Vlastní zdroje,Kerneressourcer,Κεντρικοί πόροι,Recursos principales,Ydinresurssit,Osnovni resursi,Fő erőforrások,Sumber Daya Inti,Risorse di base,Core Resources,주요 자원,Sumber Teras,Kernpersoneel,Kjerneressurser,Główne zasoby,Recursos básicos,Resurse nucleu,Основные ресурсы,核心资源,Ključni viri,Huvudresurser,核心資源,Core Resources,Temel Kaynaklar
101,3,AAA Internet Job Bank,AAA Internet-Jobbörse,Banque d'emplois Internet AAA,インターネット就職斡旋サイト A,بنك AAA لأعمال الانترنت,Internetová databáze pracovních příležitostí AAA,AAA Internet Job Bank,Τράπεζα εργασίας AAA στο Διαδίκτυο,Bolsa de empleo de Internet AAA,AAA-Internet-työpankki,AAA Internet banka poslova,AAA Internetes állásbank,Bank Pekerjaan Internet AAA,Sito Web offerte di lavoro AAA,AAA Internet Job Bank,AAA 인터넷 직업 은행,Bank Pekerjaan Internet AAA,AAA Internet Vacaturebank,AAA Internett Jobbank,Internetowy Bank Ogłoszeń o Pracy AAA,Banco AAA de vagas na internet,AAA Banca de joburi pe Internet,Банк вакансий AAA в Интернете,AAA 互联网工作职位库,AAA Internet Job Bank,AAA Jobbank på Internet,AAA 網際網路人力銀行,แหล่งงานทางอินเตอร์เน็ต AAA,AAA Internet Job Bank
800,1,Pathfinder Personnel,Pathfinder Personnel,Éclaireurs - recherche de personnel,パスファインダー パーソネル,مكتشف مسار الموظفين,Pathfinder Personnel,Stifinder personale,Pathfinder Personnel,Promoción de personal,Pathfinder-henkilöstö,Pathfinder Personnel,Kereső munkatársak,Jasa Pencari Personalia,Società di ricerca e selezione del personale,Pathfinder Personnel,Pathfinder Personnel,Personel Penunjuk Laluan,JobNet Personeel,Stifinner Bemanning,Pracownicy portalu Pathfinder,Pesquisador de pessoal,Personal de cercetare,Персонал исследовательского агентства,猎头,Pathfinder Personnel,Pathfinder Personnel,獵頭,Pathfinder Personnel,Yol gösterici personel
